manager_name,driver_name,emp_id,employee_name,score
"Rina Gerhold","Company Policies",24,"Annika Ward",4
"Rina Gerhold","Company Policies",25,"Jacquelyn Hahn",4
"Rina Gerhold","Career Growth",28,"Vernon Hudson",4
"Rina Gerhold","Company Policies",29,"Marhta Johnston",4
"Annika Ward","Role Clarity",33,"Magdalena Bergnaum",4
"Malika Deckow","Role Clarity",35,"Becky Rempel",4
"Malika Deckow","Career Growth",35,"Becky Rempel",4
"Malika Deckow","Company Policies",35,"Becky Rempel",4
"Malika Deckow","Career Growth",36,"Nikole Streich",4
"Malika Deckow","Role Clarity",37,"Yuette Morar",4
"Malika Deckow","Company Policies",37,"Yuette Morar",4
"Malika Deckow","Manager Support",37,"Yuette Morar",4
"Malika Deckow","Career Growth",39,"Joyce Rau",4
"Malika Deckow","Manager Support",39,"Joyce Rau",4
"Malika Deckow","Career Growth",40,"Gerardo Gulgowski",4
"Malika Deckow","Manager Support",41,"Theodora Hahn",4
"Malika Deckow","Company Policies",44,"Shirley Crist",4
"Malika Deckow","Manager Support",44,"Shirley Crist",4
"Evonne Grant","Role Clarity",46,"Phylicia Streich",4
"Evonne Grant","Career Growth",46,"Phylicia Streich",4
"Evonne Grant","Company Policies",47,"Raylene Mueller",4
"Evonne Grant","Manager Support",47,"Raylene Mueller",4
"Evonne Grant","Career Growth",49,"Nikole Kulas",4
"Evonne Grant","Role Clarity",50,"Stanton Daniel",4
"Evonne Grant","Company Policies",51,"Nicholas Ankunding",4
"Evonne Grant","Career Growth",52,"Olinda Heidenreich",4
"Joycelyn Halvorson","Role Clarity",54,"Bari Kunde",4
"Joycelyn Halvorson","Company Policies",55,"Salena Upton",4
"Lesley Farrell","Role Clarity",3,"Solomon Fritsch",3
"Lesley Farrell","Career Growth",4,"Jeff Bechtelar",3
"Manie Halvorson","Career Growth",6,"Nobuko Dach",3
"Manie Halvorson","Career Growth",8,"Sharlene Gerlach",3
"Manie Halvorson","Manager Support",8,"Sharlene Gerlach",3
"Manie Halvorson","Career Growth",9,"Marie Schroeder",3
"Manie Halvorson","Company Policies",9,"Marie Schroeder",3
"Solomon Fritsch","Company Policies",10,"Donnell Balistreri",3
"Kandra Lakin","Role Clarity",14,"Martina Feil",3
"Kandra Lakin","Company Policies",14,"Martina Feil",3
"Kandra Lakin","Manager Support",14,"Martina Feil",3
"Kandra Lakin","Role Clarity",16,"Fern Stroman",3
"Kandra Lakin","Career Growth",16,"Fern Stroman",3
"Kandra Lakin","Company Policies",16,"Fern Stroman",3
"Kandra Lakin","Manager Support",17,"Natashia Windler",3
"Magnolia Kohler","Manager Support",18,"Leila Lemke",3
"Magnolia Kohler","Role Clarity",20,"Demetrius Hahn",3
"Magnolia Kohler","Manager Support",20,"Demetrius Hahn",3
"Magnolia Kohler","Career Growth",21,"Kyung Kub",3
"Rina Gerhold","Career Growth",25,"Jacquelyn Hahn",3
"Rina Gerhold","Manager Support",25,"Jacquelyn Hahn",3
"Rina Gerhold","Company Policies",26,"Nigel Ritchie",3
"Rina Gerhold","Manager Support",27,"Veda Prosacco",3
"Annika Ward","Company Policies",30,"Alfred Okuneva",3
"Annika Ward","Manager Support",31,"Kimberley Jacobi",3
"Annika Ward","Career Growth",33,"Magdalena Bergnaum",3
"Malika Deckow","Career Growth",37,"Yuette Morar",3
"Malika Deckow","Role Clarity",41,"Theodora Hahn",3
"Malika Deckow","Company Policies",41,"Theodora Hahn",3
"Malika Deckow","Role Clarity",42,"Mohammed Corkery",3
"Malika Deckow","Company Policies",42,"Mohammed Corkery",3
"Malika Deckow","Company Policies",43,"Gudrun Price",3
"Malika Deckow","Role Clarity",44,"Shirley Crist",3
"Evonne Grant","Role Clarity",47,"Raylene Mueller",3
"Evonne Grant","Company Policies",48,"Annabelle Kuhic",3
"Evonne Grant","Manager Support",51,"Nicholas Ankunding",3
"Evonne Grant","Manager Support",52,"Olinda Heidenreich",3
"Joycelyn Halvorson","Role Clarity",55,"Salena Upton",3
"Joycelyn Halvorson","Manager Support",55,"Salena Upton",3
"Lesley Farrell","Role Clarity",2,"Manie Halvorson",2
"Lesley Farrell","Career Growth",2,"Manie Halvorson",2
"Lesley Farrell","Company Policies",2,"Manie Halvorson",2
"Lesley Farrell","Manager Support",2,"Manie Halvorson",2
"Lesley Farrell","Manager Support",3,"Solomon Fritsch",2
"Lesley Farrell","Manager Support",4,"Jeff Bechtelar",2
"Manie Halvorson","Manager Support",6,"Nobuko Dach",2
"Manie Halvorson","Manager Support",9,"Marie Schroeder",2
"Kandra Lakin","Company Policies",15,"Remedios Baumbach",2
"Kandra Lakin","Manager Support",15,"Remedios Baumbach",2
"Kandra Lakin","Career Growth",17,"Natashia Windler",2
"Kandra Lakin","Company Policies",17,"Natashia Windler",2
"Magnolia Kohler","Company Policies",18,"Leila Lemke",2
"Magnolia Kohler","Role Clarity",19,"Aida Jacobi",2
"Magnolia Kohler","Company Policies",19,"Aida Jacobi",2
"Magnolia Kohler","Role Clarity",21,"Kyung Kub",2
"Magnolia Kohler","Career Growth",22,"Sonya Beier",2
"Magnolia Kohler","Company Policies",22,"Sonya Beier",2
"Rina Gerhold","Role Clarity",24,"Annika Ward",2
"Rina Gerhold","Role Clarity",26,"Nigel Ritchie",2
"Rina Gerhold","Career Growth",26,"Nigel Ritchie",2
"Rina Gerhold","Manager Support",26,"Nigel Ritchie",2
"Rina Gerhold","Career Growth",27,"Veda Prosacco",2
"Rina Gerhold","Company Policies",27,"Veda Prosacco",2
"Rina Gerhold","Role Clarity",28,"Vernon Hudson",2
"Rina Gerhold","Company Policies",28,"Vernon Hudson",2
"Rina Gerhold","Career Growth",29,"Marhta Johnston",2
"Annika Ward","Role Clarity",30,"Alfred Okuneva",2
"Annika Ward","Career Growth",30,"Alfred Okuneva",2
"Annika Ward","Role Clarity",31,"Kimberley Jacobi",2
"Annika Ward","Role Clarity",32,"Rusty Raynor",2
"Annika Ward","Career Growth",32,"Rusty Raynor",2
"Annika Ward","Company Policies",32,"Rusty Raynor",2
"Annika Ward","Company Policies",33,"Magdalena Bergnaum",2
"Malika Deckow","Manager Support",35,"Becky Rempel",2
"Malika Deckow","Career Growth",38,"Lilia Hickle",2
"Malika Deckow","Manager Support",38,"Lilia Hickle",2
"Malika Deckow","Company Policies",39,"Joyce Rau",2
"Malika Deckow","Role Clarity",40,"Gerardo Gulgowski",2
"Malika Deckow","Company Policies",40,"Gerardo Gulgowski",2
"Malika Deckow","Career Growth",41,"Theodora Hahn",2
"Malika Deckow","Manager Support",42,"Mohammed Corkery",2
"Malika Deckow","Career Growth",43,"Gudrun Price",2
"Evonne Grant","Company Policies",46,"Phylicia Streich",2
"Evonne Grant","Career Growth",47,"Raylene Mueller",2
"Evonne Grant","Role Clarity",49,"Nikole Kulas",2
"Evonne Grant","Company Policies",50,"Stanton Daniel",2
"Evonne Grant","Manager Support",50,"Stanton Daniel",2
"Evonne Grant","Career Growth",51,"Nicholas Ankunding",2
"Evonne Grant","Role Clarity",52,"Olinda Heidenreich",2
"Joycelyn Halvorson","Company Policies",54,"Bari Kunde",2
"Joycelyn Halvorson","Manager Support",54,"Bari Kunde",2
"Lesley Farrell","Career Growth",3,"Solomon Fritsch",1
"Lesley Farrell","Role Clarity",4,"Jeff Bechtelar",1
"Lesley Farrell","Career Growth",5,"Brooks Hilll",1
"Manie Halvorson","Role Clarity",6,"Nobuko Dach",1
"Manie Halvorson","Role Clarity",7,"Sage Beier",1
"Manie Halvorson","Role Clarity",8,"Sharlene Gerlach",1
"Solomon Fritsch","Career Growth",10,"Donnell Balistreri",1
"Solomon Fritsch","Manager Support",10,"Donnell Balistreri",1
"Kandra Lakin","Role Clarity",13,"Magnolia Kohler",1
"Kandra Lakin","Career Growth",13,"Magnolia Kohler",1
"Kandra Lakin","Company Policies",13,"Magnolia Kohler",1
"Kandra Lakin","Career Growth",14,"Martina Feil",1
"Magnolia Kohler","Role Clarity",18,"Leila Lemke",1
"Magnolia Kohler","Company Policies",20,"Demetrius Hahn",1
"Magnolia Kohler","Company Policies",21,"Kyung Kub",1
"Magnolia Kohler","Manager Support",21,"Kyung Kub",1
"Magnolia Kohler","Role Clarity",22,"Sonya Beier",1
"Magnolia Kohler","Manager Support",22,"Sonya Beier",1
"Rina Gerhold","Career Growth",24,"Annika Ward",1
"Rina Gerhold","Manager Support",24,"Annika Ward",1
"Rina Gerhold","Role Clarity",25,"Jacquelyn Hahn",1
"Rina Gerhold","Role Clarity",27,"Veda Prosacco",1
"Rina Gerhold","Manager Support",28,"Vernon Hudson",1
"Rina Gerhold","Manager Support",29,"Marhta Johnston",1
"Annika Ward","Company Policies",31,"Kimberley Jacobi",1
"Annika Ward","Manager Support",32,"Rusty Raynor",1
"Malika Deckow","Role Clarity",36,"Nikole Streich",1
"Malika Deckow","Company Policies",36,"Nikole Streich",1
"Malika Deckow","Company Policies",38,"Lilia Hickle",1
"Malika Deckow","Career Growth",42,"Mohammed Corkery",1
"Malika Deckow","Role Clarity",43,"Gudrun Price",1
"Malika Deckow","Manager Support",43,"Gudrun Price",1
"Malika Deckow","Career Growth",44,"Shirley Crist",1
"Evonne Grant","Manager Support",46,"Phylicia Streich",1
"Evonne Grant","Career Growth",48,"Annabelle Kuhic",1
"Evonne Grant","Manager Support",48,"Annabelle Kuhic",1
"Evonne Grant","Company Policies",49,"Nikole Kulas",1
