location,emp_id,employee_name,driver_name,score
Bangalore,12,"Kandra Lakin","Role Clarity",2
Bangalore,12,"Kandra Lakin","Career Growth",2
Bangalore,17,"Natashia Windler","Career Growth",2
Bangalore,17,"Natashia Windler","Company Policies",2
Bangalore,19,"Aida Jacobi","Role Clarity",2
Bangalore,19,"Aida Jacobi","Company Policies",2
Bangalore,22,"Sonya Beier","Career Growth",2
Bangalore,22,"Sonya Beier","Company Policies",2
Bangalore,23,"Rina Gerhold","Career Growth",2
Bangalore,26,"Nigel Ritchie","Role Clarity",2
Bangalore,26,"Nigel Ritchie","Career Growth",2
Bangalore,26,"Nigel Ritchie","Manager Support",2
Bangalore,27,"Veda Prosacco","Career Growth",2
Bangalore,27,"Veda Prosacco","Company Policies",2
Bangalore,29,"Marhta Johnston","Career Growth",2
Bangalore,41,"Theodora Hahn","Career Growth",2
Bangalore,46,"Phylicia Streich","Company Policies",2
Bangalore,47,"Raylene Mueller","Career Growth",2
Bangalore,42,"Mohammed Corkery","Manager Support",2
Bangalore,48,"Annabelle Kuhic","Career Growth",1
Bangalore,46,"Phylicia Streich","Manager Support",1
Bangalore,36,"Nikole Streich","Role Clarity",1
Bangalore,36,"Nikole Streich","Company Policies",1
Bangalore,48,"Annabelle Kuhic","Manager Support",1
Bangalore,42,"Mohammed Corkery","Career Growth",1
Bangalore,4,"Jeff Bechtelar","Role Clarity",1
Bangalore,8,"Sharlene Gerlach","Role Clarity",1
Bangalore,12,"Kandra Lakin","Manager Support",1
Bangalore,14,"Martina Feil","Career Growth",1
Bangalore,22,"Sonya Beier","Role Clarity",1
Bangalore,22,"Sonya Beier","Manager Support",1
Bangalore,23,"Rina Gerhold","Company Policies",1
Bangalore,25,"Jacquelyn Hahn","Role Clarity",1
Bangalore,27,"Veda Prosacco","Role Clarity",1
Bangalore,29,"Marhta Johnston","Manager Support",1
Mumbai,7,"Sage Beier","Company Policies",5
Mumbai,10,"Donnell Balistreri","Role Clarity",5
Mumbai,18,"Leila Lemke","Career Growth",5
Mumbai,31,"Kimberley Jacobi","Career Growth",5
Mumbai,52,"Olinda Heidenreich","Company Policies",5
Mumbai,33,"Magdalena Bergnaum","Manager Support",5
Mumbai,39,"Joyce Rau","Role Clarity",5
Mumbai,51,"Nicholas Ankunding","Role Clarity",5
Mumbai,49,"Nikole Kulas","Manager Support",5
Mumbai,55,"Salena Upton","Career Growth",5
Mumbai,33,"Magdalena Bergnaum","Role Clarity",4
Mumbai,52,"Olinda Heidenreich","Career Growth",4
Mumbai,51,"Nicholas Ankunding","Company Policies",4
Mumbai,49,"Nikole Kulas","Career Growth",4
Mumbai,53,"Joycelyn Halvorson","Career Growth",4
Mumbai,39,"Joyce Rau","Career Growth",4
Mumbai,53,"Joycelyn Halvorson","Manager Support",4
Mumbai,39,"Joyce Rau","Manager Support",4
Mumbai,55,"Salena Upton","Company Policies",4
Mumbai,7,"Sage Beier","Career Growth",4
Mumbai,7,"Sage Beier","Manager Support",4
Mumbai,16,"Fern Stroman","Manager Support",4
Mumbai,28,"Vernon Hudson","Career Growth",4
Mumbai,10,"Donnell Balistreri","Company Policies",3
Mumbai,16,"Fern Stroman","Role Clarity",3
Mumbai,16,"Fern Stroman","Career Growth",3
Mumbai,16,"Fern Stroman","Company Policies",3
Mumbai,18,"Leila Lemke","Manager Support",3
Mumbai,31,"Kimberley Jacobi","Manager Support",3
Mumbai,51,"Nicholas Ankunding","Manager Support",3
Mumbai,43,"Gudrun Price","Company Policies",3
Mumbai,52,"Olinda Heidenreich","Manager Support",3
Mumbai,33,"Magdalena Bergnaum","Career Growth",3
Mumbai,55,"Salena Upton","Role Clarity",3
Mumbai,53,"Joycelyn Halvorson","Role Clarity",3
Mumbai,55,"Salena Upton","Manager Support",3
Mumbai,43,"Gudrun Price","Career Growth",2
Mumbai,49,"Nikole Kulas","Role Clarity",2
Mumbai,39,"Joyce Rau","Company Policies",2
Mumbai,51,"Nicholas Ankunding","Career Growth",2
Mumbai,33,"Magdalena Bergnaum","Company Policies",2
Mumbai,53,"Joycelyn Halvorson","Company Policies",2
Mumbai,52,"Olinda Heidenreich","Role Clarity",2
Mumbai,18,"Leila Lemke","Company Policies",2
Mumbai,28,"Vernon Hudson","Role Clarity",2
Mumbai,28,"Vernon Hudson","Company Policies",2
Mumbai,31,"Kimberley Jacobi","Role Clarity",2
Mumbai,7,"Sage Beier","Role Clarity",1
Mumbai,10,"Donnell Balistreri","Career Growth",1
Mumbai,10,"Donnell Balistreri","Manager Support",1
Mumbai,18,"Leila Lemke","Role Clarity",1
Mumbai,28,"Vernon Hudson","Manager Support",1
Mumbai,49,"Nikole Kulas","Company Policies",1
Mumbai,31,"Kimberley Jacobi","Company Policies",1
Mumbai,43,"Gudrun Price","Role Clarity",1
Mumbai,43,"Gudrun Price","Manager Support",1
"San Francisco",40,"Gerardo Gulgowski","Manager Support",5
"San Francisco",38,"Lilia Hickle","Role Clarity",5
"San Francisco",50,"Stanton Daniel","Career Growth",5
"San Francisco",54,"Bari Kunde","Career Growth",5
"San Francisco",3,"Solomon Fritsch","Company Policies",5
"San Francisco",5,"Brooks Hilll","Manager Support",5
"San Francisco",6,"Nobuko Dach","Company Policies",5
"San Francisco",20,"Demetrius Hahn","Career Growth",5
"San Francisco",30,"Alfred Okuneva","Manager Support",5
"San Francisco",1,"Lesley Farrell","Career Growth",4
"San Francisco",5,"Brooks Hilll","Role Clarity",4
"San Francisco",5,"Brooks Hilll","Company Policies",4
"San Francisco",9,"Marie Schroeder","Role Clarity",4
"San Francisco",13,"Magnolia Kohler","Manager Support",4
"San Francisco",15,"Remedios Baumbach","Role Clarity",4
"San Francisco",15,"Remedios Baumbach","Career Growth",4
"San Francisco",24,"Annika Ward","Company Policies",4
"San Francisco",35,"Becky Rempel","Role Clarity",4
"San Francisco",40,"Gerardo Gulgowski","Career Growth",4
"San Francisco",35,"Becky Rempel","Company Policies",4
"San Francisco",35,"Becky Rempel","Career Growth",4
"San Francisco",37,"Yuette Morar","Manager Support",4
"San Francisco",50,"Stanton Daniel","Role Clarity",4
"San Francisco",37,"Yuette Morar","Role Clarity",4
"San Francisco",37,"Yuette Morar","Company Policies",4
"San Francisco",44,"Shirley Crist","Company Policies",4
"San Francisco",44,"Shirley Crist","Manager Support",4
"San Francisco",54,"Bari Kunde","Role Clarity",4
"San Francisco",44,"Shirley Crist","Role Clarity",3
"San Francisco",34,"Malika Deckow","Manager Support",3
"San Francisco",37,"Yuette Morar","Career Growth",3
"San Francisco",45,"Evonne Grant","Role Clarity",3
"San Francisco",3,"Solomon Fritsch","Role Clarity",3
"San Francisco",6,"Nobuko Dach","Career Growth",3
"San Francisco",9,"Marie Schroeder","Career Growth",3
"San Francisco",9,"Marie Schroeder","Company Policies",3
"San Francisco",20,"Demetrius Hahn","Role Clarity",3
"San Francisco",20,"Demetrius Hahn","Manager Support",3
"San Francisco",21,"Kyung Kub","Career Growth",3
"San Francisco",30,"Alfred Okuneva","Company Policies",3
"San Francisco",1,"Lesley Farrell","Role Clarity",2
"San Francisco",1,"Lesley Farrell","Manager Support",2
"San Francisco",2,"Manie Halvorson","Role Clarity",2
"San Francisco",2,"Manie Halvorson","Career Growth",2
"San Francisco",2,"Manie Halvorson","Company Policies",2
"San Francisco",2,"Manie Halvorson","Manager Support",2
"San Francisco",3,"Solomon Fritsch","Manager Support",2
"San Francisco",6,"Nobuko Dach","Manager Support",2
"San Francisco",9,"Marie Schroeder","Manager Support",2
"San Francisco",15,"Remedios Baumbach","Company Policies",2
"San Francisco",15,"Remedios Baumbach","Manager Support",2
"San Francisco",21,"Kyung Kub","Role Clarity",2
"San Francisco",24,"Annika Ward","Role Clarity",2
"San Francisco",30,"Alfred Okuneva","Role Clarity",2
"San Francisco",30,"Alfred Okuneva","Career Growth",2
"San Francisco",50,"Stanton Daniel","Manager Support",2
"San Francisco",40,"Gerardo Gulgowski","Company Policies",2
"San Francisco",32,"Rusty Raynor","Company Policies",2
"San Francisco",32,"Rusty Raynor","Career Growth",2
"San Francisco",40,"Gerardo Gulgowski","Role Clarity",2
"San Francisco",32,"Rusty Raynor","Role Clarity",2
"San Francisco",38,"Lilia Hickle","Manager Support",2
"San Francisco",38,"Lilia Hickle","Career Growth",2
"San Francisco",34,"Malika Deckow","Company Policies",2
"San Francisco",35,"Becky Rempel","Manager Support",2
"San Francisco",54,"Bari Kunde","Company Policies",2
"San Francisco",54,"Bari Kunde","Manager Support",2
"San Francisco",50,"Stanton Daniel","Company Policies",2
"San Francisco",45,"Evonne Grant","Manager Support",2
"San Francisco",32,"Rusty Raynor","Manager Support",1
"San Francisco",44,"Shirley Crist","Career Growth",1
"San Francisco",38,"Lilia Hickle","Company Policies",1
"San Francisco",34,"Malika Deckow","Career Growth",1
"San Francisco",45,"Evonne Grant","Career Growth",1
"San Francisco",45,"Evonne Grant","Company Policies",1
"San Francisco",34,"Malika Deckow","Role Clarity",1
"San Francisco",1,"Lesley Farrell","Company Policies",1
"San Francisco",3,"Solomon Fritsch","Career Growth",1
"San Francisco",5,"Brooks Hilll","Career Growth",1
"San Francisco",6,"Nobuko Dach","Role Clarity",1
"San Francisco",13,"Magnolia Kohler","Role Clarity",1
"San Francisco",13,"Magnolia Kohler","Career Growth",1
"San Francisco",13,"Magnolia Kohler","Company Policies",1
"San Francisco",20,"Demetrius Hahn","Company Policies",1
"San Francisco",21,"Kyung Kub","Company Policies",1
"San Francisco",21,"Kyung Kub","Manager Support",1
"San Francisco",24,"Annika Ward","Career Growth",1
"San Francisco",24,"Annika Ward","Manager Support",1
